date_declaration,loi
2019-10-21,"Q-2, r. 6"
2019-10-21,"Q-2, r. 33"
2019-10-18,Q-2
2019-10-18,Q-2
2019-10-18,"Q-2, r. 35.2"
2019-10-17,"Q-2, r. 32"
2019-10-16,Q-2
2019-10-15,Q-2
2019-10-15,"S-3.1.01, r.1"
2019-10-10,"Q-2, r. 33"
2019-10-09,Q-2
2019-10-09,"Q-2, r. 32"
2019-10-09,Q-2
2019-10-03,"Q-2, r. 27"
2019-10-02,"Q-2, r. 33"
2019-09-23,Q-2
2019-09-22,"Q-2, r. 32"
2019-09-17,Q-2
2019-09-17,"Q-2, r. 4.1"
2019-09-16,"Q-2, r. 33"
2019-09-16,"Q-2, r. 33"
2019-09-16,"Q-2, r. 33"
2019-09-11,"Q-2, r. 33"
2019-09-11,Q-2
2019-09-11,"Q-2, r. 33"
2019-09-09,"Q-2, r. 33"
2019-09-06,"Q-2, r. 33"
2019-09-03,"Q-2, r. 33"
2019-09-03,"Q-2, r. 27"
2019-08-15,Q-2
2019-08-12,"S-3.1.01, r.1"
2019-07-12,Q-2
2019-07-12,Q-2
2019-07-03,"Q-2, r. 23"
2019-06-27,"Q-2, r. 32"
2019-06-27,Q-2
2019-06-20,Q-2
2019-06-11,"Q-2, r. 33"
2019-06-06,"Q-2, r. 33"
2019-05-29,"S-3.1.01, r.1"
2019-05-28,"Q-2, r. 26"
2019-05-28,"Q-2, r. 26"
2019-05-28,Q-2
2019-05-28,Q-2
2019-05-22,Q-2
2019-05-21,"Q-2, r. 26"
2019-05-17,P-9.3
2019-05-17,Q-2
2019-05-17,Q-2
2019-05-17,Q-2
2019-05-17,Q-2
2019-05-17,Q-2
2019-05-17,Q-2
2019-05-15,Q-2
2019-05-15,Q-2
2019-05-15,"Q-2, r. 32"
2019-05-14,"Q-2, r. 33"
2019-05-08,Q-2
2019-05-08,Q-2
2019-05-08,"S-3.1.01, r.1"
2019-05-03,"Q-2, r. 26"
2019-05-01,Q-2
2019-05-01,Q-2
2019-05-01,Q-2
2019-04-30,"Q-2, r. 32"
2019-04-30,Q-2
2019-04-30,"Q-2, r. 32"
2019-04-25,Q-2
2019-04-25,Q-2
2019-04-19,Q-2
2019-04-19,Q-2
2019-04-18,Q-2
2019-04-16,Q-2
2019-04-16,"Q-2, r. 32"
2019-04-16,"Q-2, r. 32"
2019-04-16,Q-2
2019-04-16,Q-2
2019-04-12,Q-2
2019-04-12,Q-2
2019-04-12,Q-2
2019-04-10,"Q-2, r. 32"
2019-04-10,"Q-2, r. 33"
2019-04-10,Q-2
2019-04-10,"Q-2, r. 32"
2019-04-09,Q-2
2019-04-09,Q-2
2019-04-02,"Q-2, r. 32"
2019-04-02,"Q-2, r. 32"
2019-03-27,Q-2
2019-03-27,Q-2
2019-03-27,"S-3.1.01, r.1"
2019-03-22,Q-2
2019-03-15,"Q-2, r. 40"
2019-03-12,Q-2
2019-03-12,Q-2
2019-03-05,P-9.3
2019-02-19,Q-2
2019-02-13,Q-2
2019-02-07,Q-2
2019-02-06,"S-3.1.01, r.1"
2019-01-28,"S-3.1.01, r.1"
2019-01-23,Q-2
2019-01-17,Q-2
2019-01-17,Q-2
2019-01-17,Q-2
2019-01-15,"Q-2, r. 32"
2019-01-15,"Q-2, r. 20"
2019-01-15,"Q-2, r. 32"
2019-01-15,"Q-2, r. 32"
2019-01-15,Q-2
2019-01-15,"Q-2, r. 32"
2019-01-15,"Q-2, r. 32"
2019-01-14,"Q-2, r. 33"
2019-01-09,Q-2
2019-01-03,Q-2
2018-12-19,Q-2
2018-12-19,Q-2
2018-12-12,Q-2
2018-12-12,Q-2
2018-12-12,Q-2
2018-12-11,"Q-2, r. 32"
2018-12-11,"Q-2, r. 26"
2018-12-11,"Q-2, r. 4.1"
2018-12-04,"Q-2, r. 27"
2018-12-04,"Q-2, r. 27"
2018-11-26,Q-2
2018-11-26,"S-3.1.01, r.1"
2018-11-26,Q-2
2018-11-22,"Q-2, r. 33"
2018-11-21,"Q-2, r. 33"
2018-11-07,Q-2
2018-11-01,Q-2
2018-10-17,Q-2
2018-10-16,Q-2
2018-10-16,Q-2
2018-10-16,Q-2
2018-10-16,Q-2
2018-10-10,Q-2
2018-10-05,Q-2
2018-10-03,Q-2
2018-09-28,Q-2
2018-09-26,"Q-2, r. 26"
2018-09-25,"Q-2, r. 32"
2018-09-21,Q-2
2018-09-21,Q-2
2018-09-21,Q-2
2018-09-17,"Q-2, r. 33"
2018-09-12,Q-2
2018-09-12,Q-2
2018-09-05,Q-2
2018-09-04,Q-2
2018-08-23,"S-3.1.01, r.1"
2018-08-17,Q-2
2018-08-17,Q-2
2018-08-17,Q-2
2018-08-16,Q-2
2018-08-14,Q-2
2018-07-19,"Q-2, r. 33"
2018-07-17,P-9.3
2018-07-05,Q-2
2018-07-05,Q-2
2018-06-28,"P-9.3, r. 1"
2018-06-21,Q-2
2018-06-19,Q-2
2018-06-18,"Q-2, r. 33"
2018-06-18,Q-2
2018-06-15,Q-2
2018-06-14,"Q-2, r. 33"
2018-06-12,Q-2
2018-06-11,Q-2
2018-06-11,Q-2
2018-06-07,"Q-2, r. 4.1"
2018-05-29,P-9.3
2018-05-24,"Q-2, r. 26"
2018-05-23,"Q-2, r. 33"
2018-05-22,"Q-2, r. 26"
2018-05-16,"Q-2, r. 40"
2018-05-16,"Q-2, r. 40"
2018-05-16,"Q-2, r. 40"
2018-05-16,"Q-2, r. 40"
2018-05-16,"Q-2, r. 40"
2018-05-16,"Q-2, r. 40"
2018-05-16,"Q-2, r. 40"
2018-05-16,"Q-2, r. 40"
2018-05-16,"Q-2, r. 40"
2018-05-16,"Q-2, r. 40"
2018-05-16,"Q-2, r. 33"
2018-05-16,"Q-2, r. 40"
2018-05-16,"Q-2, r. 40"
2018-05-15,"Q-2, r. 33"
2018-05-15,"Q-2, r. 7"
2018-05-15,Q-2
2018-05-14,P-9.3
2018-05-14,P-9.3
2018-05-09,Q-2
2018-05-09,Q-2
2018-05-09,"Q-2, r. 32"
2018-05-09,Q-2
2018-05-09,Q-2
2018-05-09,Q-2
2018-05-09,Q-2
2018-05-09,Q-2
2018-05-09,Q-2
2018-05-09,"Q-2, r. 32"
2018-05-08,"Q-2, r. 33"
2018-05-02,"Q-2, r. 32"
2018-04-27,"Q-2, r. 33"
2018-04-25,Q-2
2018-04-24,"Q-2, r. 33"
2018-04-23,Q-2
2018-04-23,Q-2
2018-04-17,P-9.3
2018-04-17,P-9.3
2018-04-17,P-9.3
2018-04-06,Q-2
2018-04-06,"Q-2, r. 32"
2018-04-06,"Q-2, r. 32"
2018-04-06,"Q-2, r. 32"
2018-04-06,Q-2
2018-04-06,Q-2
2018-04-06,Q-2
2018-03-28,Q-2
2018-03-21,P-9.3
2018-03-21,P-9.3
2018-03-20,Q-2
2018-03-15,Q-2
2018-03-15,Q-2
2018-03-15,Q-2
2018-03-15,Q-2
2018-03-01,"Q-2, r. 33"
